sido,sigungu,car_type,car_purpose,year,month,value
부산,금정구,총계,영업용,2025,05,"7,043"
부산,금정구,총계,계,2025,05,"83,247"
부산,기장군,승용,관용,2025,05,82
부산,기장군,승용,자가용,2025,05,"75,453"
부산,기장군,승용,영업용,2025,05,858
부산,기장군,승용,계,2025,05,"76,393"
부산,기장군,승합,관용,2025,05,49
부산,기장군,승합,자가용,2025,05,"1,926"
부산,기장군,승합,영업용,2025,05,543
부산,기장군,승합,계,2025,05,"2,518"
부산,기장군,화물,관용,2025,05,122
부산,기장군,화물,자가용,2025,05,"10,666"
부산,기장군,화물,영업용,2025,05,"1,206"
부산,기장군,화물,계,2025,05,"11,994"
부산,기장군,특수,관용,2025,05,13
부산,기장군,특수,자가용,2025,05,258
부산,기장군,특수,영업용,2025,05,210
부산,기장군,특수,계,2025,05,481
부산,기장군,총계,관용,2025,05,266
부산,기장군,총계,자가용,2025,05,"88,303"
부산,기장군,총계,영업용,2025,05,"2,817"
부산,기장군,총계,계,2025,05,"91,386"
부산,남구,승용,관용,2025,05,117
부산,남구,승용,자가용,2025,05,"81,558"
부산,남구,승용,영업용,2025,05,"2,845"
부산,남구,승용,계,2025,05,"84,520"
부산,남구,승합,관용,2025,05,57
부산,남구,승합,자가용,2025,05,"1,979"
부산,남구,승합,영업용,2025,05,481
부산,남구,승합,계,2025,05,"2,517"
부산,남구,화물,관용,2025,05,59
부산,남구,화물,자가용,2025,05,"8,576"
부산,남구,화물,영업용,2025,05,"4,329"
부산,남구,화물,계,2025,05,"12,964"
부산,남구,특수,관용,2025,05,4
부산,남구,특수,자가용,2025,05,325
부산,남구,특수,영업용,2025,05,"1,456"
부산,남구,특수,계,2025,05,"1,785"
부산,남구,총계,관용,2025,05,237
부산,남구,총계,자가용,2025,05,"92,438"
부산,남구,총계,영업용,2025,05,"9,111"
부산,남구,총계,계,2025,05,"101,786"
부산,동구,승용,관용,2025,05,84
부산,동구,승용,자가용,2025,05,"44,861"
부산,동구,승용,영업용,2025,05,"1,579"
부산,동구,승용,계,2025,05,"46,524"
부산,동구,승합,관용,2025,05,47
부산,동구,승합,자가용,2025,05,810
부산,동구,승합,영업용,2025,05,169
부산,동구,승합,계,2025,05,"1,026"
부산,동구,화물,관용,2025,05,62
부산,동구,화물,자가용,2025,05,"3,503"
부산,동구,화물,영업용,2025,05,"2,337"
부산,동구,화물,계,2025,05,"5,902"
부산,동구,특수,관용,2025,05,5
